番号,開催日,終了日,イベント等名,会場,開催等状況,ホームページURL,問い合わせ先,,
1,2020-03-01,当面の間,司法書士相談,市民の声を聞く課・各区役所,中止,"http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan.html,http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan_shiminnokoe.html",総務局広報部市民の声を聞く課,011-211-2042,
2,2020-03-03,当面の間,家庭生活相談,市民の声を聞く課・各区役所,"電話相談のみ受付,（面談相談休止中）","http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan.html,http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan_shiminnokoe.html",総務局広報部市民の声を聞く課,011-211-2042,
3,2020-04-13,当面の間,法律相談,市民の声を聞く課・各区役所,"【市民の声を聞く課】電話相談のみ受付（面談相談休止）,【各区役所】,全面休止","http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan.html,http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan_shiminnokoe.html",総務局広報部市民の声を聞く課,011-211-2042,
4,2020-04-21,当面の間,税相談,市民の声を聞く課,"電話相談のみ受付,（面談相談休止中）",http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan_shiminnokoe.html,総務局広報部市民の声を聞く課,011-211-2042,
5,2020-05-11,2021-03-31,各区保健センターで実施される4か月児健診、ＢＣＧ接種,各区保健センター,5月11日の週から再開,"http://www.city.sapporo.jp/hokenjo/boshi/nyuuken.html,,http://www.city.sapporo.jp/hokenjo/f1kansen/bcg_enki.html",保健福祉局保健所健康企画課,011-622-5151,保健所感染症総合対策課011-622-5199日程等の詳細は各区健康・子ども課
6,2020-05-13,2021-03-31,ポロップひろば,市立幼稚園全園,"中止,（７月末まで）",http://www.higashinaebo-k.sapporo-c.ed.jp/,教育委員会学校教育部幼児教育センター担当課,011-671-3454,
7,2020-05-26,2021-03-31,特定健診（実施医療機関）,実施医療機関,"5月26日から,再開",http://www.city.sapporo.jp/hoken-iryo/kokuho/kensin4.html#iryoukikan,保健福祉局保険医療部国保健康推進担当課,011-211-2887,
8,2020-05-26,2021-03-31,後期高齢者健診（実施医療機関）,実施医療機関,"5月26日から,再開",http://www.city.sapporo.jp/hoken-iryo/rouken/kokikorei_kensin.html,保健福祉局保険医療部国保健康推進担当課,011-211-2887,
9,2020-05-26,2021-03-31,特定保健指導,各区保健センター・各区役所保健福祉課・実施医療機関等,"5月26日から,再開",http://www.city.sapporo.jp/hoken-iryo/kokuho/hoken_shido.html,保健福祉局保険医療部国保健康推進担当課,011-211-2887,
10,2020-06-01,2021-02-28,クリーンミーティング（出前講座）,各区,休止,,環境局清掃事業担当部,各清掃事務所,
11,2020-06-01,2021-03-31,各区保健センター、地区会館等で実施される胃・大腸・肺がん検診、結核健診,各区保健センター、地区会館等,開催,http://www.city.sapporo.jp/eisei/kenshin/shuudan.html,保健福祉局保健所健康企画課,011-622-5151,保健所感染症総合対策課011-622-5199
